00510 Alabama 1
00511 Georgia 2
00512 Mississippi 3
00520 Arkansas 4
00524 Rhode Island 5
00528 Louisiana 6
00630 Indiana 7
00660 Kentucky 8
00831 Alaska 9
00835 Oregon 10
00836 Washington 11
00880 South Carolina 12
00883 Ohio 13
00884 West Virginia 14
00904 Virginia 15
00951 Wisconsin 16
00952 Illinois 17-18
00953 Michigan 19
00954 Minnesota 20
01102 Northern California 21-3
01192 Southern California 24-25
01202 Hawaii/Guam 26
01302 Nevada 27
03102 Arizona 28
03202 Montana 29
03302 North Dakota 30
03402 South Dakota 31
03502 Utah 32
03602 Wyoming 33
04102 Colorado 34
04202 New Mexico 35
04302 Oklahoma 36
04402 Texas 37-39
05102 Iowa 40
05130 Idaho 41
05202 Kansas 42
05302 W. Missouri 43
05392 E. Missouri 44
05402 Nebraska 45
05440 Tennessee 46
05535 North Carolina 47
09102 Florida 48-49
09202 Puerto Rico/Virgin Islands 50
12102 Delaware 51
12202 District of Columbia 52
12302 Maryland 53
12402 New Jersey 54
12502 Pennsylvania 55
13102 Connecticut 56
13202 Empire New York 57-58
13282 Western New York 59
13292 GHI/New York 60
31142 Maine 61
31143 Massachusetts 62
31144 New Hampshire 63
31145 Vermont 64
