"STATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1KYJF0005","2008-01-01",,,,
"US1KYJF0005","2008-01-02",,,,
"US1KYJF0005","2008-01-03",,,,
"US1KYJF0005","2008-01-04",,,,
"US1KYJF0005","2008-01-05",,,,
"US1KYJF0005","2008-01-06",,,,
"US1KYJF0005","2008-01-07",,,,
"US1KYJF0005","2008-01-08",,,,
"US1KYJF0005","2008-01-09",,,,
"US1KYJF0005","2008-01-10",,,,
"US1KYJF0005","2008-01-11",,,,
"US1KYJF0005","2008-01-12",,,,
"US1KYJF0005","2008-01-13",,,,
"US1KYJF0005","2008-01-14",,,,
"US1KYJF0005","2008-01-15",,,,
"US1KYJF0005","2008-01-16",,,,
"US1KYJF0005","2008-01-17",,,,
"US1KYJF0005","2008-01-18",,,,
"US1KYJF0005","2008-01-19",,,,
"US1KYJF0005","2008-01-20",,,,
"US1KYJF0005","2008-01-21",,,,
"US1KYJF0005","2008-01-22",,,,
"US1KYJF0005","2008-01-23",,,,
"US1KYJF0005","2008-01-24",,,,
"US1KYJF0005","2008-01-25",,,,
"US1KYJF0005","2008-01-26",,,,
"US1KYJF0005","2008-01-27",,,,
"US1KYJF0005","2008-01-28",,,,
"US1KYJF0005","2008-01-29",,,,
"US1KYJF0005","2008-01-30",,,,
"US1KYJF0005","2008-01-31",,,,
"US1KYJF0005","2008-02-01",,,,
"US1KYJF0005","2008-02-02",,,,
"US1KYJF0005","2008-02-03",,,,
"US1KYJF0005","2008-02-04",,,,
"US1KYJF0005","2008-02-05",,,,
"US1KYJF0005","2008-02-06",,,,
"US1KYJF0005","2008-02-07",,,,
"US1KYJF0005","2008-02-08",,,,
"US1KYJF0005","2008-02-09",,,,
"US1KYJF0005","2008-02-10",,,,
"US1KYJF0005","2008-02-11",,,,
"US1KYJF0005","2008-02-12",,,,
"US1KYJF0005","2008-02-13",,,,
"US1KYJF0005","2008-02-14",,,,
"US1KYJF0005","2008-02-15",,,,
"US1KYJF0005","2008-02-16",,,,
"US1KYJF0005","2008-02-17",,,,
"US1KYJF0005","2008-02-18",,,,
"US1KYJF0005","2008-02-19",,,,
"US1KYJF0005","2008-02-20",,,,
"US1KYJF0005","2008-02-21",,,,
"US1KYJF0005","2008-02-22",,,,
"US1KYJF0005","2008-02-23",,,,
"US1KYJF0005","2008-02-24",,,,
"US1KYJF0005","2008-02-25",,,,
"US1KYJF0005","2008-02-26",,,,
"US1KYJF0005","2008-02-27",,,,
"US1KYJF0005","2008-02-28",,,,
"US1KYJF0005","2008-02-29",,,,
"US1KYJF0005","2008-03-01",,,,
"US1KYJF0005","2008-03-02",,,,
"US1KYJF0005","2008-03-03",,,,
"US1KYJF0005","2008-03-04",,,,
"US1KYJF0005","2008-03-05",,,,
