(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) CONV FAC	(5) RVU	(6) GPCI	(7) BASE RATE & URBAN MILEAGE	(7)(a) RURAL BASE RATE & RURAL MILEAGE	(7)(b) RURAL BASE RATE - LOWEST QUARTILE*	(8) RURAL BASE/MILES 1-17*	
Alabama										
00510	00	A0425	1.00	1.00	0.853	$6.87	$6.94	n/a	$10.41	
00510	00	A0426	209.65	1.20	0.853	$230.21	$232.46	$285.00	n/a	
00510	00	A0427	209.65	1.90	0.853	$364.49	$368.07	$451.25	n/a	
00510	00	A0428	209.65	1.00	0.853	$191.84	$193.72	$237.50	n/a	
00510	00	A0429	209.65	1.60	0.853	$306.94	$309.95	$380.00	n/a	
00510	00	A0430	1.00	1.00	0.853	"$2,636.02"	"$3,954.03"	n/a	"$3,954.03"	
00510	00	A0431	1.00	1.00	0.853	"$3,064.76"	"$4,597.14"	n/a	"$4,597.14"	
00510	00	A0432	209.65	1.75	0.853	$335.72	$339.01	n/a	n/a	
00510	00	A0433	209.65	2.75	0.853	$527.56	$532.73	$653.13	n/a	
00510	00	A0434	209.65	3.25	0.853	$623.48	$629.59	$771.88	n/a	
00510	00	A0435	1.00	1.00	0.853	$8.07	$12.11	n/a	$12.11	
00510	00	A0436	1.00	1.00	0.853	$21.53	$32.30	n/a	$32.30	
Georgia										
00511	01	A0425	1.00	1.00	1.014	$6.87	$6.94	n/a	$10.41	
00511	01	A0426	209.65	1.20	1.014	$259.13	$261.67	$320.81	n/a	
00511	01	A0427	209.65	1.90	1.014	$410.28	$414.31	$507.94	n/a	
00511	01	A0428	209.65	1.00	1.014	$215.94	$218.06	$267.34	n/a	
00511	01	A0429	209.65	1.60	1.014	$345.50	$348.89	$427.74	n/a	
00511	01	A0430	1.00	1.00	1.014	"$2,865.06"	"$4,297.58"	n/a	"$4,297.58"	
00511	01	A0431	1.00	1.00	1.014	"$3,331.05"	"$4,996.57"	n/a	"$4,996.57"	
00511	01	A0432	209.65	1.75	1.014	$377.89	$381.60	n/a	n/a	
00511	01	A0433	209.65	2.75	1.014	$593.83	$599.65	$735.17	n/a	
00511	01	A0434	209.65	3.25	1.014	$701.80	$708.68	$868.84	n/a	
00511	01	A0435	1.00	1.00	1.014	$8.07	$12.11	n/a	$12.11	
00511	01	A0436	1.00	1.00	1.014	$21.53	$32.30	n/a	$32.30	
00511	99	A0425	1.00	1.00	0.883	$6.87	$6.94	n/a	$10.41	
00511	99	A0426	209.65	1.20	0.883	$235.60	$237.90	$291.67	n/a	
00511	99	A0427	209.65	1.90	0.883	$373.03	$376.68	$461.81	n/a	
00511	99	A0428	209.65	1.00	0.883	$196.33	$198.25	$243.05	n/a	
00511	99	A0429	209.65	1.60	0.883	$314.13	$317.21	$388.90	n/a	
00511	99	A0430	1.00	1.00	0.883	"$2,678.70"	"$4,018.05"	n/a	"$4,018.05"	
00511	99	A0431	1.00	1.00	0.883	"$3,114.38"	"$4,671.57"	n/a	"$4,671.57"	
00511	99	A0432	209.65	1.75	0.883	$343.58	$346.94	n/a	n/a	
00511	99	A0433	209.65	2.75	0.883	$539.91	$545.20	$668.42	n/a	
00511	99	A0434	209.65	3.25	0.883	$638.07	$644.33	$789.95	n/a	
00511	99	A0435	1.00	1.00	0.883	$8.07	$12.11	n/a	$12.11	
00511	99	A0436	1.00	1.00	0.883	$21.53	$32.30	n/a	$32.30	
Mississippi										
00512	00	A0425	1.00	1.00	0.854	$6.87	$6.94	n/a	$10.41	
00512	00	A0426	209.65	1.20	0.854	$230.39	$232.64	$285.22	n/a	
00512	00	A0427	209.65	1.90	0.854	$364.78	$368.35	$451.60	n/a	
00512	00	A0428	209.65	1.00	0.854	$191.99	$193.87	$237.68	n/a	
00512	00	A0429	209.65	1.60	0.854	$307.18	$310.19	$380.29	n/a	
00512	00	A0430	1.00	1.00	0.854	"$2,637.44"	"$3,956.17"	n/a	"$3,956.17"	
00512	00	A0431	1.00	1.00	0.854	"$3,066.41"	"$4,599.62"	n/a	"$4,599.62"	
00512	00	A0432	209.65	1.75	0.854	$335.98	$339.27	n/a	n/a	
00512	00	A0433	209.65	2.75	0.854	$527.97	$533.14	$653.63	n/a	
00512	00	A0434	209.65	3.25	0.854	$623.96	$630.08	$772.48	n/a	
00512	00	A0435	1.00	1.00	0.854	$8.07	$12.11	n/a	$12.11	
00512	00	A0436	1.00	1.00	0.854	$21.53	$32.30	n/a	$32.30	
Arkansas										
00520	13	A0425	1.00	1.00	0.846	$6.87	$6.94	n/a	$10.41	
00520	13	A0426	215.01	1.20	0.846	$234.80	$237.10	$290.68	n/a	
00520	13	A0427	215.01	1.90	0.846	$371.77	$375.42	$460.26	n/a	
00520	13	A0428	215.01	1.00	0.846	$195.67	$197.59	$242.25	n/a	
00520	13	A0429	215.01	1.60	0.846	$313.07	$316.14	$387.59	n/a	
00520	13	A0430	1.00	1.00	0.846	"$2,626.06"	"$3,939.10"	n/a	"$3,939.10"	
00520	13	A0431	1.00	1.00	0.846	"$3,053.18"	"$4,579.77"	n/a	"$4,579.77"	
00520	13	A0432	215.01	1.75	0.846	$342.42	$345.78	n/a	n/a	
00520	13	A0433	215.01	2.75	0.846	$538.09	$543.36	$666.16	n/a	
00520	13	A0434	215.01	3.25	0.846	$635.92	$642.16	$787.29	n/a	
00520	13	A0435	1.00	1.00	0.846	$8.07	$12.11	n/a	$12.11	
00520	13	A0436	1.00	1.00	0.846	$21.53	$32.30	n/a	$32.30	
Rhode Island										
00524	01	A0425	1.00	1.00	1.088	$6.87	$6.94	n/a	$10.41	
00524	01	A0426	221.88	1.20	1.088	$288.31	$291.14	$356.94	n/a	
00524	01	A0427	221.88	1.90	1.088	$456.49	$460.97	$565.15	n/a	
00524	01	A0428	221.88	1.00	1.088	$240.26	$242.61	$297.44	n/a	
00524	01	A0429	221.88	1.60	1.088	$384.41	$388.18	$475.91	n/a	
00524	01	A0430	1.00	1.00	1.088	"$2,970.33"	"$4,455.49"	n/a	"$4,455.49"	
