(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*
Mississippi									
00512	00	A0425	6.74	1.00	0.927	$6.87	$6.94	n/a	$10.41
00512	00	A0426	209.65	1.20	0.927	$243.50	$245.89	$301.46	n/a
00512	00	A0427	209.65	1.90	0.927	$385.54	$389.32	$477.31	n/a
00512	00	A0428	209.65	1.00	0.927	$202.92	$204.90	$251.21	n/a
00512	00	A0429	209.65	1.60	0.927	$324.66	$327.85	$401.94	n/a
00512	00	A0430	2845.14	1.00	0.927	"$2,741.29"	"$4,111.94"	n/a	"$4,111.94"
00512	00	A0431	3307.89	1.00	0.927	"$3,187.15"	"$4,780.73"	n/a	"$4,780.73"
00512	00	A0432	209.65	1.75	0.927	$355.10	$358.58	n/a	n/a
00512	00	A0433	209.65	2.75	0.927	$558.02	$563.49	$690.84	n/a
00512	00	A0434	209.65	3.25	0.927	$659.48	$665.94	$816.44	n/a
00512	00	A0435	8.07	1.00	0.927	$8.07	$12.11	n/a	$12.11
00512	00	A0436	21.53	1.00	0.927	$21.53	$32.30	n/a	$32.30
Arkansas									
00520	13	A0425	6.74	1.00	0.923	$6.87	$6.94	n/a	$10.41
00520	13	A0426	209.65	1.20	0.923	$242.78	$245.16	$300.57	n/a
00520	13	A0427	209.65	1.90	0.923	$384.40	$388.17	$475.90	n/a
00520	13	A0428	209.65	1.00	0.923	$202.32	$204.30	$250.47	n/a
00520	13	A0429	209.65	1.60	0.923	$323.71	$326.88	$400.76	n/a
00520	13	A0430	2845.14	1.00	0.923	"$2,735.60"	"$4,103.40"	n/a	"$4,103.40"
00520	13	A0431	3307.89	1.00	0.923	"$3,180.54"	"$4,770.80"	n/a	"$4,770.80"
00520	13	A0432	209.65	1.75	0.923	$354.05	$357.53	n/a	n/a
00520	13	A0433	209.65	2.75	0.923	$556.37	$561.83	$688.80	n/a
00520	13	A0434	209.65	3.25	0.923	$657.53	$663.98	$814.03	n/a
00520	13	A0435	8.07	1.00	0.923	$8.07	$12.11	n/a	$12.11
00520	13	A0436	21.53	1.00	0.923	$21.53	$32.30	n/a	$32.30
Louisiana									
00528	01	A0425	6.74	1.00	1.044	$6.87	$6.94	n/a	$10.41
00528	01	A0426	209.65	1.20	1.044	$264.52	$267.11	$327.48	n/a
00528	01	A0427	209.65	1.90	1.044	$418.82	$422.92	$518.50	n/a
00528	01	A0428	209.65	1.00	1.044	$220.43	$222.59	$272.90	n/a
00528	01	A0429	209.65	1.60	1.044	$352.69	$356.14	$436.63	n/a
00528	01	A0430	2845.14	1.00	1.044	"$2,907.73"	"$4,361.60"	n/a	"$4,361.60"
00528	01	A0431	3307.89	1.00	1.044	"$3,380.66"	"$5,071.00"	n/a	"$5,071.00"
00528	01	A0432	209.65	1.75	1.044	$385.75	$389.53	n/a	n/a
00528	01	A0433	209.65	2.75	1.044	$606.18	$612.12	$750.46	n/a
00528	01	A0434	209.65	3.25	1.044	$716.40	$723.42	$886.91	n/a
00528	01	A0435	8.07	1.00	1.044	$8.07	$12.11	n/a	$12.11
00528	01	A0436	21.53	1.00	1.044	$21.53	$32.30	n/a	$32.30
00528	99	A0425	6.74	1.00	0.939	$6.87	$6.94	n/a	$10.41
00528	99	A0426	209.65	1.20	0.939	$245.65	$248.06	$304.12	n/a
00528	99	A0427	209.65	1.90	0.939	$388.95	$392.77	$481.53	n/a
00528	99	A0428	209.65	1.00	0.939	$204.71	$206.72	$253.44	n/a
00528	99	A0429	209.65	1.60	0.939	$327.54	$330.75	$405.50	n/a
00528	99	A0430	2845.14	1.00	0.939	"$2,758.36"	"$4,137.54"	n/a	"$4,137.54"
00528	99	A0431	3307.89	1.00	0.939	"$3,207.00"	"$4,810.50"	n/a	"$4,810.50"
00528	99	A0432	209.65	1.75	0.939	$358.25	$361.76	n/a	n/a
00528	99	A0433	209.65	2.75	0.939	$562.96	$568.48	$696.95	n/a
00528	99	A0434	209.65	3.25	0.939	$665.31	$671.84	$823.67	n/a
00528	99	A0435	8.07	1.00	0.939	$8.07	$12.11	n/a	$12.11
00528	99	A0436	21.53	1.00	0.939	$21.53	$32.30	n/a	$32.30
Indiana									
00630	00	A0425	6.74	1.00	0.960	$6.87	$6.94	n/a	$10.41
00630	00	A0426	209.65	1.20	0.960	$249.43	$251.87	$308.79	n/a
00630	00	A0427	209.65	1.90	0.960	$394.93	$398.80	$488.93	n/a
00630	00	A0428	209.65	1.00	0.960	$207.86	$209.89	$257.33	n/a
00630	00	A0429	209.65	1.60	0.960	$332.57	$335.83	$411.73	n/a
00630	00	A0430	2845.14	1.00	0.960	"$2,788.24"	"$4,182.36"	n/a	"$4,182.36"
00630	00	A0431	3307.89	1.00	0.960	"$3,241.73"	"$4,862.60"	n/a	"$4,862.60"
00630	00	A0432	209.65	1.75	0.960	$363.75	$367.31	n/a	n/a
00630	00	A0433	209.65	2.75	0.960	$571.60	$577.21	$707.65	n/a
00630	00	A0434	209.65	3.25	0.960	$675.53	$682.15	$836.32	n/a
00630	00	A0435	8.07	1.00	0.960	$8.07	$12.11	n/a	$12.11
00630	00	A0436	21.53	1.00	0.960	$21.53	$32.30	n/a	$32.30
Kentucky									
00660	00	A0425	6.74	1.00	0.930	$6.87	$6.94	n/a	$10.41
00660	00	A0426	209.65	1.20	0.930	$244.04	$246.43	$302.12	n/a
00660	00	A0427	209.65	1.90	0.930	$386.39	$390.18	$478.36	n/a
00660	00	A0428	209.65	1.00	0.930	$203.36	$205.36	$251.77	n/a
00660	00	A0429	209.65	1.60	0.930	$325.38	$328.57	$402.83	n/a
00660	00	A0430	2845.14	1.00	0.930	"$2,745.56"	"$4,118.34"	n/a	"$4,118.34"
00660	00	A0431	3307.89	1.00	0.930	"$3,192.11"	"$4,788.17"	n/a	"$4,788.17"
00660	00	A0432	209.65	1.75	0.930	$355.89	$359.38	n/a	n/a
