(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*	
Mississippi										
00512	00	A0425	6.73	1.00	0.929	$6.86	$6.93	n/a	$10.40	
00512	00	A0426	209.44	1.20	0.929	$243.61	$246.00	$301.60	n/a	
00512	00	A0427	209.44	1.90	0.929	$385.72	$389.50	$477.53	n/a	
00512	00	A0428	209.44	1.00	0.929	$203.01	$205.00	$251.33	n/a	
00512	00	A0429	209.44	1.60	0.929	$324.82	$328.00	$402.13	n/a	
00512	00	A0430	2842.29	1.00	0.929	"$2,741.39"	"$4,112.08"	n/a	"$4,112.08"	
00512	00	A0431	3304.58	1.00	0.929	"$3,187.27"	"$4,780.90"	n/a	"$4,780.90"	
00512	00	A0432	209.44	1.75	0.929	$355.27	$358.75	n/a	n/a	
00512	00	A0433	209.44	2.75	0.929	$558.28	$563.75	$691.16	n/a	
00512	00	A0434	209.44	3.25	0.929	$659.79	$666.26	$816.83	n/a	
00512	00	A0435	8.06	1.00	0.929	$8.06	$12.09	n/a	$12.09	
00512	00	A0436	21.51	1.00	0.929	$21.51	$32.27	n/a	$32.27	
Arkansas										
00520	13	A0425	6.73	1.00	0.923	$6.86	$6.93	n/a	$10.40	
00520	13	A0426	209.44	1.20	0.923	$242.54	$244.91	$300.27	n/a	
00520	13	A0427	209.44	1.90	0.923	$384.02	$387.78	$475.42	n/a	
00520	13	A0428	209.44	1.00	0.923	$202.11	$204.10	$250.22	n/a	
00520	13	A0429	209.44	1.60	0.923	$323.38	$326.55	$400.35	n/a	
00520	13	A0430	2842.29	1.00	0.923	"$2,732.86"	"$4,099.29"	n/a	"$4,099.29"	
00520	13	A0431	3304.58	1.00	0.923	"$3,177.35"	"$4,766.03"	n/a	"$4,766.03"	
00520	13	A0432	209.44	1.75	0.923	$353.70	$357.17	n/a	n/a	
00520	13	A0433	209.44	2.75	0.923	$555.81	$561.26	$688.11	n/a	
00520	13	A0434	209.44	3.25	0.923	$656.87	$663.31	$813.22	n/a	
00520	13	A0435	8.06	1.00	0.923	$8.06	$12.09	n/a	$12.09	
00520	13	A0436	21.51	1.00	0.923	$21.51	$32.27	n/a	$32.27	
Louisiana										
00528	01	A0425	6.73	1.00	1.018	$6.86	$6.93	n/a	$10.40	
00528	01	A0426	209.44	1.20	1.018	$259.58	$262.13	$321.37	n/a	
00528	01	A0427	209.44	1.90	1.018	$411.01	$415.04	$508.84	n/a	
00528	01	A0428	209.44	1.00	1.018	$216.32	$218.44	$267.81	n/a	
00528	01	A0429	209.44	1.60	1.018	$346.11	$349.51	$428.49	n/a	
00528	01	A0430	2842.29	1.00	1.018	"$2,867.87"	"$4,301.81"	n/a	"$4,301.81"	
00528	01	A0431	3304.58	1.00	1.018	"$3,334.32"	"$5,001.48"	n/a	"$5,001.48"	
00528	01	A0432	209.44	1.75	1.018	$378.56	$382.27	n/a	n/a	
00528	01	A0433	209.44	2.75	1.018	$594.88	$600.71	$736.47	n/a	
00528	01	A0434	209.44	3.25	1.018	$703.04	$709.93	$870.38	n/a	
00528	01	A0435	8.06	1.00	1.018	$8.06	$12.09	n/a	$12.09	
00528	01	A0436	21.51	1.00	1.018	$21.51	$32.27	n/a	$32.27	
00528	99	A0425	6.73	1.00	0.936	$6.86	$6.93	n/a	$10.40	
00528	99	A0426	209.44	1.20	0.936	$244.87	$247.27	$303.15	n/a	
00528	99	A0427	209.44	1.90	0.936	$387.71	$391.51	$479.99	n/a	
00528	99	A0428	209.44	1.00	0.936	$204.06	$206.06	$252.63	n/a	
00528	99	A0429	209.44	1.60	0.936	$326.49	$329.69	$404.20	n/a	
00528	99	A0430	2842.29	1.00	0.936	"$2,751.34"	"$4,127.01"	n/a	"$4,127.01"	
00528	99	A0431	3304.58	1.00	0.936	"$3,198.83"	"$4,798.25"	n/a	"$4,798.25"	
00528	99	A0432	209.44	1.75	0.936	$357.10	$360.60	n/a	n/a	
00528	99	A0433	209.44	2.75	0.936	$561.16	$566.66	$694.73	n/a	
00528	99	A0434	209.44	3.25	0.936	$663.19	$669.69	$821.04	n/a	
00528	99	A0435	8.06	1.00	0.936	$8.06	$12.09	n/a	$12.09	
00528	99	A0436	21.51	1.00	0.936	$21.51	$32.27	n/a	$32.27	
Indiana										
00630	00	A0425	6.73	1.00	0.957	$6.86	$6.93	n/a	$10.40	
00630	00	A0426	209.44	1.20	0.957	$248.64	$251.08	$307.82	n/a	
00630	00	A0427	209.44	1.90	0.957	$393.68	$397.54	$487.38	n/a	
00630	00	A0428	209.44	1.00	0.957	$207.20	$209.23	$256.52	n/a	
00630	00	A0429	209.44	1.60	0.957	$331.52	$334.77	$410.43	n/a	
00630	00	A0430	2842.29	1.00	0.957	"$2,781.18"	"$4,171.77"	n/a	"$4,171.77"	
00630	00	A0431	3304.58	1.00	0.957	"$3,233.53"	"$4,850.30"	n/a	"$4,850.30"	
00630	00	A0432	209.44	1.75	0.957	$362.60	$366.15	n/a	n/a	
00630	00	A0433	209.44	2.75	0.957	$569.80	$575.38	$705.42	n/a	
00630	00	A0434	209.44	3.25	0.957	$673.40	$680.00	$833.68	n/a	
00630	00	A0435	8.06	1.00	0.957	$8.06	$12.09	n/a	$12.09	
00630	00	A0436	21.51	1.00	0.957	$21.51	$32.27	n/a	$32.27	
Kentucky										
00660	00	A0425	6.73	1.00	0.932	$6.86	$6.93	n/a	$10.40	
00660	00	A0426	209.44	1.20	0.932	$244.15	$246.55	$302.27	n/a	
