CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*	
01112	05	A0425	1.00	1.357	7.15	$7.29	$7.36	n/a	$11.04	
01112	05	A0426	1.20	1.357	222.29	$340.08	$343.41	$421.02	n/a	
01112	05	A0427	1.90	1.357	222.29	$538.45	$543.73	$666.61	n/a	
01112	05	A0428	1.00	1.357	222.29	$283.40	$286.18	$350.86	n/a	
01112	05	A0429	1.60	1.357	222.29	$453.44	$457.88	$561.36	n/a	
01112	05	A0430	1.00	1.357	3016.51	"$3,554.96"	"$5,332.44"	n/a	"$5,332.44"	
01112	05	A0431	1.00	1.357	3507.14	"$4,133.16"	"$6,199.75"	n/a	"$6,199.75"	
01112	05	A0432	1.75	1.357	222.29	$495.94	$500.81	n/a	n/a	
01112	05	A0433	2.75	1.357	222.29	$779.34	$786.98	$964.84	n/a	
01112	05	A0434	3.25	1.357	222.29	$921.04	$930.07	"$1,140.27"	n/a	
01112	05	A0435	1.00	1.357	8.56	$8.56	$12.84	n/a	$12.84	
01112	05	A0436	1.00	1.357	22.84	$22.84	$34.26	n/a	$34.26	
01112	06	A0425	1.00	1.349	7.15	$7.29	$7.36	n/a	$11.04	
01112	06	A0426	1.20	1.349	222.29	$338.55	$341.87	$419.13	n/a	
01112	06	A0427	1.90	1.349	222.29	$536.04	$541.30	$663.63	n/a	
01112	06	A0428	1.00	1.349	222.29	$282.13	$284.89	$349.28	n/a	
01112	06	A0429	1.60	1.349	222.29	$451.40	$455.83	$558.85	n/a	
01112	06	A0430	1.00	1.349	3016.51	"$3,542.89"	"$5,314.34"	n/a	"$5,314.34"	
01112	06	A0431	1.00	1.349	3507.14	"$4,119.14"	"$6,178.70"	n/a	"$6,178.70"	
01112	06	A0432	1.75	1.349	222.29	$493.72	$498.56	n/a	n/a	
01112	06	A0433	2.75	1.349	222.29	$775.85	$783.46	$960.52	n/a	
01112	06	A0434	3.25	1.349	222.29	$916.91	$925.90	"$1,135.15"	n/a	
01112	06	A0435	1.00	1.349	8.56	$8.56	$12.84	n/a	$12.84	
01112	06	A0436	1.00	1.349	22.84	$22.84	$34.26	n/a	$34.26	
01112	07	A0425	1.00	1.293	7.15	$7.29	$7.36	n/a	$11.04	
01112	07	A0426	1.20	1.293	222.29	$327.89	$331.10	$405.93	n/a	
01112	07	A0427	1.90	1.293	222.29	$519.15	$524.24	$642.72	n/a	
01112	07	A0428	1.00	1.293	222.29	$273.24	$275.92	$338.28	n/a	
01112	07	A0429	1.60	1.293	222.29	$437.18	$441.47	$541.24	n/a	
01112	07	A0430	1.00	1.293	3016.51	"$3,458.43"	"$5,187.64"	n/a	"$5,187.64"	
01112	07	A0431	1.00	1.293	3507.14	"$4,020.94"	"$6,031.40"	n/a	"$6,031.40"	
01112	07	A0432	1.75	1.293	222.29	$478.17	$482.86	n/a	n/a	
01112	07	A0433	2.75	1.293	222.29	$751.41	$758.77	$930.25	n/a	
01112	07	A0434	3.25	1.293	222.29	$888.03	$896.73	"$1,099.39"	n/a	
01112	07	A0435	1.00	1.293	8.56	$8.56	$12.84	n/a	$12.84	
01112	07	A0436	1.00	1.293	22.84	$22.84	$34.26	n/a	$34.26	
01112	09	A0425	1.00	1.351	7.15	$7.29	$7.36	n/a	$11.04	
01112	09	A0426	1.20	1.351	222.29	$338.93	$342.26	$419.61	n/a	
01112	09	A0427	1.90	1.351	222.29	$536.65	$541.91	$664.38	n/a	
01112	09	A0428	1.00	1.351	222.29	$282.44	$285.21	$349.67	n/a	
01112	09	A0429	1.60	1.351	222.29	$451.91	$456.34	$559.47	n/a	
