CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*
01112	05	A0425	1.00	1.327	$7.47	$7.62	$7.69	n/a	$11.54
01112	05	A0426	1.20	1.327	$231.98	$348.94	$352.36	$431.99	n/a
01112	05	A0427	1.90	1.327	$231.98	$552.49	$557.90	$683.99	n/a
01112	05	A0428	1.00	1.327	$231.98	$290.78	$293.63	$359.99	n/a
01112	05	A0429	1.60	1.327	$231.98	$465.25	$469.81	$575.99	n/a
01112	05	A0430	1.00	1.327	"$3,147.91"	"$3,662.59"	"$5,493.89"	n/a	"$5,493.89"
01112	05	A0431	1.00	1.327	"$3,659.92"	"$4,258.32"	"$6,387.48"	n/a	"$6,387.48"
01112	05	A0432	1.75	1.327	$231.98	$508.87	$513.86	n/a	n/a
01112	05	A0433	2.75	1.327	$231.98	$799.65	$807.49	$989.98	n/a
01112	05	A0434	3.25	1.327	$231.98	$945.04	$954.31	"$1,169.98"	n/a
01112	05	A0435	1.00	1.327	$8.93	$8.93	$13.40	n/a	$13.40
01112	05	A0436	1.00	1.327	$23.83	$23.83	$35.75	n/a	$35.75
01112	06	A0425	1.00	1.327	$7.47	$7.62	$7.69	n/a	$11.54
01112	06	A0426	1.20	1.327	$231.98	$348.94	$352.36	$431.99	n/a
01112	06	A0427	1.90	1.327	$231.98	$552.49	$557.90	$683.99	n/a
01112	06	A0428	1.00	1.327	$231.98	$290.78	$293.63	$359.99	n/a
01112	06	A0429	1.60	1.327	$231.98	$465.25	$469.81	$575.99	n/a
01112	06	A0430	1.00	1.327	"$3,147.91"	"$3,662.59"	"$5,493.89"	n/a	"$5,493.89"
01112	06	A0431	1.00	1.327	"$3,659.92"	"$4,258.32"	"$6,387.48"	n/a	"$6,387.48"
01112	06	A0432	1.75	1.327	$231.98	$508.87	$513.86	n/a	n/a
01112	06	A0433	2.75	1.327	$231.98	$799.65	$807.49	$989.98	n/a
01112	06	A0434	3.25	1.327	$231.98	$945.04	$954.31	"$1,169.98"	n/a
01112	06	A0435	1.00	1.327	$8.93	$8.93	$13.40	n/a	$13.40
01112	06	A0436	1.00	1.327	$23.83	$23.83	$35.75	n/a	$35.75
01112	07	A0425	1.00	1.327	$7.47	$7.62	$7.69	n/a	$11.54
01112	07	A0426	1.20	1.327	$231.98	$348.94	$352.36	$431.99	n/a
01112	07	A0427	1.90	1.327	$231.98	$552.49	$557.90	$683.99	n/a
01112	07	A0428	1.00	1.327	$231.98	$290.78	$293.63	$359.99	n/a
01112	07	A0429	1.60	1.327	$231.98	$465.25	$469.81	$575.99	n/a
01112	07	A0430	1.00	1.327	"$3,147.91"	"$3,662.59"	"$5,493.89"	n/a	"$5,493.89"
01112	07	A0431	1.00	1.327	"$3,659.92"	"$4,258.32"	"$6,387.48"	n/a	"$6,387.48"
01112	07	A0432	1.75	1.327	$231.98	$508.87	$513.86	n/a	n/a
01112	07	A0433	2.75	1.327	$231.98	$799.65	$807.49	$989.98	n/a
01112	07	A0434	3.25	1.327	$231.98	$945.04	$954.31	"$1,169.98"	n/a
01112	07	A0435	1.00	1.327	$8.93	$8.93	$13.40	n/a	$13.40
01112	07	A0436	1.00	1.327	$23.83	$23.83	$35.75	n/a	$35.75
01112	09	A0425	1.00	1.369	$7.47	$7.62	$7.69	n/a	$11.54
01112	09	A0426	1.20	1.369	$231.98	$357.29	$360.79	$442.33	n/a
01112	09	A0427	1.90	1.369	$231.98	$565.70	$571.25	$700.35	n/a
01112	09	A0428	1.00	1.369	$231.98	$297.74	$300.66	$368.61	n/a
01112	09	A0429	1.60	1.369	$231.98	$476.38	$481.05	$589.77	n/a
01112	09	A0430	1.00	1.369	"$3,147.91"	"$3,728.70"	"$5,593.05"	n/a	"$5,593.05"
01112	09	A0431	1.00	1.369	"$3,659.92"	"$4,335.18"	"$6,502.76"	n/a	"$6,502.76"
01112	09	A0432	1.75	1.369	$231.98	$521.04	$526.15	n/a	n/a
01112	09	A0433	2.75	1.369	$231.98	$818.78	$826.81	"$1,013.67"	n/a
01112	09	A0434	3.25	1.369	$231.98	$967.65	$977.14	"$1,197.97"	n/a
01112	09	A0435	1.00	1.369	$8.93	$8.93	$13.40	n/a	$13.40
01112	09	A0436	1.00	1.369	$23.83	$23.83	$35.75	n/a	$35.75
01112	51	A0425	1.00	1.284	$7.47	$7.62	$7.69	n/a	$11.54
01112	51	A0426	1.20	1.284	$231.98	$340.39	$343.73	$421.41	n/a
01112	51	A0427	1.90	1.284	$231.98	$538.95	$544.24	$667.24	n/a
01112	51	A0428	1.00	1.284	$231.98	$283.66	$286.44	$351.18	n/a
01112	51	A0429	1.60	1.284	$231.98	$453.86	$458.30	$561.88	n/a
01112	51	A0430	1.00	1.284	"$3,147.91"	"$3,594.91"	"$5,392.37"	n/a	"$5,392.37"
01112	51	A0431	1.00	1.284	"$3,659.92"	"$4,179.63"	"$6,269.44"	n/a	"$6,269.44"
01112	51	A0432	1.75	1.284	$231.98	$496.40	$501.27	n/a	n/a
01112	51	A0433	2.75	1.284	$231.98	$780.06	$787.71	$965.73	n/a
01112	51	A0434	3.25	1.284	$231.98	$921.89	$930.93	"$1,141.32"	n/a
01112	51	A0435	1.00	1.284	$8.93	$8.93	$13.40	n/a	$13.40
01112	51	A0436	1.00	1.284	$23.83	$23.83	$35.75	n/a	$35.75
01112	52	A0425	1.00	1.314	$7.47	$7.62	$7.69	n/a	$11.54
01112	52	A0426	1.20	1.314	$231.98	$346.35	$349.75	$428.79	n/a
01112	52	A0427	1.90	1.314	$231.98	$548.39	$553.77	$678.92	n/a
01112	52	A0428	1.00	1.314	$231.98	$288.63	$291.46	$357.33	n/a
01112	52	A0429	1.60	1.314	$231.98	$461.81	$466.33	$571.72	n/a
01112	52	A0430	1.00	1.314	"$3,147.91"	"$3,642.13"	"$5,463.20"	n/a	"$5,463.20"
01112	52	A0431	1.00	1.314	"$3,659.92"	"$4,234.53"	"$6,351.79"	n/a	"$6,351.79"
01112	52	A0432	1.75	1.314	$231.98	$505.10	$510.05	n/a	n/a
01112	52	A0433	2.75	1.314	$231.98	$793.73	$801.51	$982.65	n/a
01112	52	A0434	3.25	1.314	$231.98	$938.04	$947.24	"$1,161.32"	n/a
01112	52	A0435	1.00	1.314	$8.93	$8.93	$13.40	n/a	$13.40
01112	52	A0436	1.00	1.314	$23.83	$23.83	$35.75	n/a	$35.75
01112	53	A0425	1.00	1.284	$7.47	$7.62	$7.69	n/a	$11.54
01112	53	A0426	1.20	1.284	$231.98	$340.39	$343.73	$421.41	n/a
01112	53	A0427	1.90	1.284	$231.98	$538.95	$544.24	$667.24	n/a
01112	53	A0428	1.00	1.284	$231.98	$283.66	$286.44	$351.18	n/a
01112	53	A0429	1.60	1.284	$231.98	$453.86	$458.30	$561.88	n/a
01112	53	A0430	1.00	1.284	"$3,147.91"	"$3,594.91"	"$5,392.37"	n/a	"$5,392.37"
01112	53	A0431	1.00	1.284	"$3,659.92"	"$4,179.63"	"$6,269.44"	n/a	"$6,269.44"
01112	53	A0432	1.75	1.284	$231.98	$496.40	$501.27	n/a	n/a
01112	53	A0433	2.75	1.284	$231.98	$780.06	$787.71	$965.73	n/a
01112	53	A0434	3.25	1.284	$231.98	$921.89	$930.93	"$1,141.32"	n/a
01112	53	A0435	1.00	1.284	$8.93	$8.93	$13.40	n/a	$13.40
01112	53	A0436	1.00	1.284	$23.83	$23.83	$35.75	n/a	$35.75
01112	54	A0425	1.00	1.084	$7.47	$7.62	$7.69	n/a	$11.54
01112	54	A0426	1.20	1.084	$231.98	$300.64	$303.59	$372.20	n/a
01112	54	A0427	1.90	1.084	$231.98	$476.01	$480.68	$589.31	n/a
01112	54	A0428	1.00	1.084	$231.98	$250.53	$252.99	$310.17	n/a
01112	54	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
01112	54	A0430	1.00	1.084	"$3,147.91"	"$3,280.12"	"$4,920.18"	n/a	"$4,920.18"
01112	54	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
01112	54	A0432	1.75	1.084	$231.98	$438.43	$442.73	n/a	n/a
01112	54	A0433	2.75	1.084	$231.98	$688.97	$695.72	$852.95	n/a
01112	54	A0434	3.25	1.084	$231.98	$814.23	$822.21	"$1,008.03"	n/a
01112	54	A0435	1.00	1.084	$8.93	$8.93	$13.40	n/a	$13.40
01112	54	A0436	1.00	1.084	$23.83	$23.83	$35.75	n/a	$35.75
01112	55	A0425	1.00	1.084	$7.47	$7.62	$7.69	n/a	$11.54
01112	55	A0426	1.20	1.084	$231.98	$300.64	$303.59	$372.20	n/a
01112	55	A0427	1.90	1.084	$231.98	$476.01	$480.68	$589.31	n/a
01112	55	A0428	1.00	1.084	$231.98	$250.53	$252.99	$310.17	n/a
01112	55	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
01112	55	A0430	1.00	1.084	"$3,147.91"	"$3,280.12"	"$4,920.18"	n/a	"$4,920.18"
01112	55	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
01112	55	A0432	1.75	1.084	$231.98	$438.43	$442.73	n/a	n/a
01112	55	A0433	2.75	1.084	$231.98	$688.97	$695.72	$852.95	n/a
01112	55	A0434	3.25	1.084	$231.98	$814.23	$822.21	"$1,008.03"	n/a
01112	55	A0435	1.00	1.084	$8.93	$8.93	$13.40	n/a	$13.40
01112	55	A0436	1.00	1.084	$23.83	$23.83	$35.75	n/a	$35.75
01112	56	A0425	1.00	1.084	$7.47	$7.62	$7.69	n/a	$11.54
01112	56	A0426	1.20	1.084	$231.98	$300.64	$303.59	$372.20	n/a
01112	56	A0427	1.90	1.084	$231.98	$476.01	$480.68	$589.31	n/a
01112	56	A0428	1.00	1.084	$231.98	$250.53	$252.99	$310.17	n/a
01112	56	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
01112	56	A0430	1.00	1.084	"$3,147.91"	"$3,280.12"	"$4,920.18"	n/a	"$4,920.18"
01112	56	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
01112	56	A0432	1.75	1.084	$231.98	$438.43	$442.73	n/a	n/a
01112	56	A0433	2.75	1.084	$231.98	$688.97	$695.72	$852.95	n/a
01112	56	A0434	3.25	1.084	$231.98	$814.23	$822.21	"$1,008.03"	n/a
01112	56	A0435	1.00	1.084	$8.93	$8.93	$13.40	n/a	$13.40
01112	56	A0436	1.00	1.084	$23.83	$23.83	$35.75	n/a	$35.75
01112	57	A0425	1.00	1.084	$7.47	$7.62	$7.69	n/a	$11.54
01112	57	A0426	1.20	1.084	$231.98	$300.64	$303.59	$372.20	n/a
01112	57	A0427	1.90	1.084	$231.98	$476.01	$480.68	$589.31	n/a
01112	57	A0428	1.00	1.084	$231.98	$250.53	$252.99	$310.17	n/a
01112	57	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
