00512 Mississippi 1
00520 Arkansas 2
00528 Louisiana 3
00630 Indiana 4
00660 Kentucky 5
00831 Alaska 6
00835 Oregon 7
00836 Washington 8
00880 South Carolina 9
00883 Ohio 10
00884 West Virginia 11
00904 Virginia 12
00951 Wisconsin 13
00952 Illinois 14-15
00953 Michigan 16
00954 Minnesota 17
01102 Northern California 18-20
01192 Southern California 21-22
01202 Hawaii/Guam 23
01302 Nevada 24
03102 Arizona 25
03202 Montana 26
03302 North Dakota 27
03402 South Dakota 28
03502 Utah 29
03602 Wyoming 30
04102 Colorado 31
04202 New Mexico 32
04302 Oklahoma 33
04402 Texas 34-37
05102 Iowa 38
05130 Idaho 39
05202 Kansas 40
05302 Missouri 41-42
05402 Nebraska 43
05535 North Carolina 44
09102 Florida 45-46
09202 Puerto Rico/Virgin Islands 47
10102 Alabama 48
10202 Georgia 49
10302 Tennessee 50
12102 Delaware 51
12202 District of Columbia 52
12302 Maryland 53
12402 New Jersey 54
12502 Pennsylvania 55
13102 Connecticut 56
13202 Empire New York 57-58
13282 Western New York 59
13292 GHI/New York 60
14102 Maine 61
14202 Massachusetts 62
14302 New Hampshire 63
14402 Rhode Island 64
14502 Vermont 65
