00512 Mississippi 1
U00520 Arkansas 2
U00528 Louisiana 3
U00630 Indiana 4
U00660 Kentucky 5
U00831 Alaska 6
U00835 Oregon 7
U00836 Washington 8
U00880 South Carolina 9
U00883 Ohio 10
U00884 West Virginia 11
U00904 Virginia 12
U00951 Wisconsin 13
U00952 Illinois 14-15
U00953 Michigan 16
U00954 Minnesota 17
U01102 Northern California 18-20
U01192 Southern California 21-22
U01202 Hawaii/Guam 23
U01302 Nevada 24
U03102 Arizona 25
U03202 Montana 26
U03302 North Dakota 27
U03402 South Dakota 28
U03502 Utah 29
U03602 Wyoming 30
U04102 Colorado 31
U04202 New Mexico 32
U04302 Oklahoma 33
U04402 Texas 34-36
U05102 Iowa 37
U05130 Idaho 38
U05202 Kansas 39
U05302 Missouri 40-41
U05402 Nebraska 42
U05535 North Carolina 43
U09102 Florida 44-45
U09202 Puerto Rico/Virgin Islands 46
U10102 Alabama 47
U10202 Georgia 48
U10302 Tennessee 49
U12102 Delaware 50
U12202 District of Columbia 51
U12302 Maryland 52
U12402 New Jersey 53
U12502 Pennsylvania 54
U13102 Connecticut 55
U13202 Empire New York 56-57
U13282 Western New York 58
U13292 GHI/New York 59
U14102 Maine 60
U14202 Massachusetts 61
U14302 New Hampshire 62
U14402 Rhode Island 63
U14502 Vermont 64
